Country,City,AccentCity,Region,Population,Latitude,Longitude
lr,aden,Aden,9,,6.5333333,-8.85
lr,african jordan,African Jordan,11,,6,-9.8333333
lr,agikolazizu,Agikolazizu,5,,8.35,-9.7166667
lr,ajoi,Ajoi,1,,6.65,-9.55
lr,akabomen,Akabomen,2,,5.2316667,-8.3869444
lr,alabama camp,Alabama Camp,5,,8.1675,-9.9513889
lr,alejazu,Alejazu,5,,8.3488889,-9.8066667
lr,alfabli,Alfabli,11,,5.9916667,-9.9925
lr,alfredta,Alfredta,5,,7.15,-10.0666667
lr,aljennah,Aljennah,14,,6.6577778,-10.5975
lr,amina,Amina,15,,6.5261111,-10.8463889
lr,amina number 2,Amina Number 2,15,,6.5333333,-10.85
lr,anchuah town,Anchuah Town,11,,6.4166667,-9.5833333
lr,andrewbli,Andrewbli,11,,6.4475,-9.5508333
lr,andrews town,Andrews Town,5,,6.9258333,-10.6688889
lr,angalazu,Angalazu,5,,8.4755556,-9.8661111
lr,ansiah,Ansiah,17,,6.6286111,-10.0797222
lr,apgaye doabli,Apgaye Doabli,1,,6.475,-9.5252778
lr,apo,Apo,8,,7.05,-10.8
lr,arthington,Arthington,14,,6.5119444,-10.6766667
lr,aruan point,Aruan Point,10,,4.9430556,-8.9016667
lr,asabli,Asabli,1,,6.4666667,-9.5333333
lr,audrichbli,Audrichbli,11,,6.0833333,-10.1833333
lr,auzitabli,Auzitabli,11,,6.3980556,-9.5516667
lr,away town,Away Town,18,,6.1327778,-9.2355556
lr,ayema,Ayema,5,,8.2416667,-9.5255556
lr,bahdehzu,B‡hdËhzu,5,,7.8583333,-9.6688889
lr,ba,Ba,17,,6.65,-9.9666667
lr,ba,Ba,5,,8.4833333,-10.1666667
lr,ba jimmy,Ba Jimmy,11,,6.5105556,-9.2361111
lr,ba sao,Ba Sao,15,,6.7294444,-10.9152778
lr,ba town,Ba Town,2,,6.4402778,-8.6205556
lr,ba town,Ba Town,9,,6.7325,-9.1363889
lr,ba town,Ba Town,1,,6.7891667,-9.3086111
lr,baa,Baa,11,,5.8166667,-9.7333333
lr,baabli,Baabli,11,,6.3613889,-10.1163889
lr,baaguata,Baaguata,11,,6.4616667,-9.3655556
lr,baaja,Baaja,12,,6.7166667,-10.9833333
lr,baaka,Baaka,1,,7.1675,-9.4480556
lr,baake,Baake,9,,6.8883333,-8.8336111
lr,baama,Baama,15,,6.55,-10.9333333
lr,baapie,Baapie,9,,7.3,-8.7
lr,baapla,Baapla,9,,7.0594444,-8.3052778
lr,baata,Baata,11,,6.4333333,-10.0333333
lr,baata,Baata,1,,6.5833333,-9.45
lr,baatonbli,Baatonbli,11,,5.55,-9.5833333
lr,baatown,Baatown,14,,6.7536111,-10.4458333
lr,baawu,Baawu,2,,5.8819444,-7.7327778
lr,bababli,Bababli,11,,6.15,-9.95
lr,babahun,Babahun,5,,8.2922222,-10.1327778
lr,babala,Babala,2,,6.1022222,-8.0958333
lr,babalo,Babalo,12,,6.9069444,-11.3511111
lr,babe,Babe,9,,7.2755556,-8.8358333
lr,babli,Babli,11,,5.4666667,-9.5833333
lr,babli,Babli,18,,5.6063889,-9.6586111
lr,babli,Babli,9,,6.8902778,-8.7463889
lr,bablobli,Bablobli,2,,6.2030556,-8.3719444
lr,babokehn,Babokehn,2,,5.5,-8
lr,babota,Babota,9,,6.9305556,-8.3622222
lr,babu,Babu,2,,5.9694444,-8.1888889
lr,babu town,Babu Town,14,,6.4333333,-10.7666667
lr,babuabli,Babuabli,11,,6.4,-9.6333333
lr,badale,Badale,9,,6.7183333,-8.4244444
lr,badanoma,Badanoma,12,,7.3833333,-11.05
lr,badawin,Badawin,11,,6.2652778,-9.7833333
lr,baddu,Baddu,16,,4.7072222,-8.4777778
lr,bade,Bade,2,,5.9625,-8.8794444
lr,bade station,Bade Station,9,,7.2833333,-8.8269444
lr,badeya,Badeya,18,,5.8194444,-9.2025
lr,badia,Badia,18,,5.845,-9.255
lr,badie,Badie,9,,7.1261111,-8.7569444
lr,badio town,Badio Town,9,,7.37,-8.7236111
lr,badow,Badow,15,,6.7716667,-10.9725
lr,badue,Badue,10,,5.5352778,-8.605
lr,baduna,Baduna,11,,6.3725,-10.0711111
lr,baema,Baema,15,,6.8086111,-10.8713889
lr,baema number 1,Baema Number 1,15,,6.8,-10.8666667
lr,bafa wehn,Bafa Wehn,16,,4.8908333,-8.4358333
lr,bafawehn,Bafawehn,10,,4.87,-8.4172222
lr,bafu,Bafu,10,,5.1730556,-9.2836111
lr,bafu bay town,Bafu Bay Town,10,,5.1508333,-9.2888889
lr,bafuma,Bafuma,12,,6.9238889,-11.4544444
lr,bagger farm,Bagger Farm,17,,6.5833333,-10.3
lr,bagle,Bagle,9,,7.0872222,-8.7241667
lr,baglor town,Baglor Town,2,,6.1277778,-8.3355556
lr,bagohn,Bagohn,2,,6.1352778,-8.1338889
lr,bagoleta,Bagoleta,1,,6.8,-10.3166667
lr,bagoli,Bagoli,11,,5.8166667,-10
lr,bagulazu,Bagulazu,5,,7.7966667,-9.7163889
lr,bagwabli,Bagwabli,11,,6.4583333,-10.1263889
lr,bagwaima,Bagwaima,17,,6.7666667,-10.3166667
lr,bagwu,Bagwu,15,,6.5669444,-10.9944444
lr,bah,Bah,11,,6.0666667,-10.1
lr,bah,Bah,17,,6.5666667,-10.0166667
lr,baha,Baha,15,,6.7122222,-10.9719444
lr,bahama,Bahama,5,,6.9947222,-10.7883333
lr,bahkedoe,BahkËdoe,5,,8.2933333,-9.6341667
lr,bahlahta,Bahlahta,5,,7.2761111,-10.3208333
lr,bahlopwa,Bahlopwa,1,,6.6866667,-9.3627778
lr,bahn,Bahn,18,,5.9852778,-9.4863889
lr,bahn,Bahn,9,,6.9852778,-8.8527778
lr,bahn town,Bahn Town,18,,5.9619444,-9.4652778
lr,bahoke,Bahoke,13,,4.6441667,-7.6825
lr,bahsiwayn,Bahsiwayn,5,,8.1527778,-9.6519444
lr,bahwayh,Bahwayh,5,,8.2013889,-9.5627778
lr,bai,Bai,1,,7.1538889,-9.4002778
lr,baiama,Baiama,8,,6.9666667,-10.6166667
lr,baibli (1),Baibli (1),11,,6.2666667,-9.75
lr,baibli (2),Baibli (2),11,,6.35,-10.1166667
lr,baiduabli,Baiduabli,11,,5.9166667,-9.9
lr,baikai,Baikai,15,,6.7166667,-10.6166667
lr,baikai,Baikai,12,,7.2083333,-11.2055556
lr,baike,Baike,13,,4.6644444,-7.7641667
lr,baikole,Baikole,5,,7.1391667,-9.9905556
lr,baila,Baila,1,,6.9383333,-9.4380556
lr,baila,Baila,5,,7.55,-10.0333333
lr,baima,Baima,15,,6.9580556,-10.9088889
lr,bainda,Bainda,1,,6.78,-9.8583333
lr,baisu,Baisu,5,,7.1994444,-10.3822222
lr,baja,Baja,15,,6.6536111,-11.0625
lr,baja,Baja,12,,6.9547222,-11.4116667
lr,bajabli,Bajabli,11,,5.8,-9.7666667
lr,bajakehn,Bajakehn,10,,5.3333333,-8.1
lr,bajego,Bajego,11,,6.0833333,-10.2333333
lr,baka,Baka,2,,6.1841667,-8.7866667
lr,bakabli,Bakabli,2,,6.4336111,-8.5755556
lr,bakado,Bakado,5,,8.4408333,-9.6933333
lr,bakamba,Bakamba,5,,8.4205556,-10.2075
lr,bakanda,Bakanda,5,,8.3688889,-10.0758333
lr,bakdia,Bakdia,11,,5.8,-9.1833333
lr,bake,Bake,2,,6.1538889,-8.5927778
lr,bakendu,Bakendu,15,,6.8875,-10.7580556
lr,bakibli,Bakibli,11,,6.0877778,-10.2661111
lr,bakiemei,Bakiemei,12,,6.9,-11.3333333
lr,bakla,Bakla,2,,5.4166667,-7.5
lr,baklo town,Baklo Town,2,,6.0686111,-8.1916667
lr,bako bea,Bako Bea,10,,5.1419444,-9.2283333
lr,bakohn,Bakohn,11,,5.8216667,-9.9002778
lr,bakohn,Bakohn,9,,6.4880556,-8.7594444
lr,bakohn town,Bakohn Town,14,,6.4938889,-10.7302778
lr,bakohnbil,Bakohnbil,11,,6.3216667,-9.5994444
lr,bakohnbli,Bakohnbli,18,,5.7847222,-9.6369444
lr,bakoi town,Bakoi Town,14,,6.3666667,-10.7166667
lr,bakonbli,Bakonbli,11,,5.85,-10.0166667
lr,bakuma,Bakuma,5,,8.3897222,-9.8769444
lr,bakun,Bakun,11,,6.45,-9.4166667
lr,bakuoima,Bakuoima,1,,6.7388889,-9.8747222
lr,bakwaita,Bakwaita,5,,7.2722222,-9.7383333
lr,bala,Bala,9,,6.8833333,-9.05
lr,bala,Bala,5,,7.2669444,-10.5761111
lr,balabli,Balabli,11,,6.1513889,-10.1022222
lr,balaisua,Balaisua,14,,6.6697222,-10.5361111
lr,balaja,Balaja,12,,6.8391667,-11.1383333
lr,balaka,Balaka,15,,6.6133333,-11.0072222
lr,balakowa,Balakowa,17,,6.7994444,-10.2544444
lr,balakpalma,Balakpalma,5,,7.1558333,-10.2441667
lr,balakpo,Balakpo,10,,5.2058333,-9.3413889
lr,balalahun,Balalahun,5,,8.0511111,-10.3538889
lr,balama,Balama,1,,7.0169444,-9.2491667
lr,balamia,Balamia,5,,8.2427778,-10.2683333
lr,balapo,Balapo,16,,4.9258333,-8.2841667
lr,balasona,Balasona,9,,7.3658333,-8.8047222
lr,balatahun,Balatahun,5,,8.2236111,-10.1519444
lr,balatau,Balatau,1,,7.3333333,-9.4666667
lr,balatenga,Balatenga,1,,7.1394444,-9.8438889
lr,balatengia,Balatengia,1,,7.1122222,-9.8883333
lr,balawa,Balawa,5,,8.4333333,-10.0833333
lr,balesi,Balesi,15,,6.5236111,-10.9088889
lr,bali place,Bali Place,10,,5.4508333,-8.7283333
lr,baliabli,Baliabli,18,,5.4533333,-9.4969444
lr,balike,Balike,2,,5.9619444,-7.7947222
lr,balingabli,Balingabli,11,,6.1833333,-9.7666667
lr,balla,Balla,1,,7.0605556,-9.1677778
lr,ballomah,Ballomah,5,,7.6991667,-9.6508333
lr,ballrah,Ballrah,11,,6.4644444,-9.9722222
lr,balmbay,Balmbay,11,,5.8319444,-9.8530556
lr,balo,Balo,9,,6.9686111,-8.8069444
lr,baloma,Baloma,15,,6.7947222,-10.6091667
lr,baloma,Baloma,12,,6.9341667,-11.3727778
lr,balosa,Balosa,18,,5.5111111,-9.5627778
lr,balozu,Balozu,5,,7.7833333,-9.4
lr,balu,Balu,16,,5.1158333,-8.2147222
lr,balura,Balura,2,,5.7888889,-7.8791667
lr,bama,Bama,11,,5.9641667,-9.6822222
lr,bamakave,Bamakave,12,,7.0344444,-10.9783333
lr,bamake,Bamake,13,,4.705,-7.7291667
lr,bamakole,Bamakole,17,,6.5666667,-10.2666667
lr,bamara,Bamara,12,,7.1852778,-11.2297222
lr,bamawipla,Bamawipla,9,,7.3594444,-8.4369444
lr,bamazo,Bamazo,15,,6.7441667,-10.8202778
lr,bambele,Bambele,12,,7.2233333,-11.1766667
lr,bambli,Bambli,9,,7.3313889,-8.4788889
lr,bambodu,Bambodu,5,,8.3666667,-10.25
lr,bambuma,Bambuma,5,,6.9055556,-10.5808333
lr,bambuta,Bambuta,5,,6.9813889,-10.5233333
lr,bame,Bame,1,,6.9166667,-9.4666667
lr,bamganima,Bamganima,1,,6.8402778,-9.8427778
lr,bami,Bami,5,,8.45,-10.0666667
lr,bamobli,Bamobli,15,,6.6383333,-10.9383333
lr,bamonoa,Bamonoa,15,,6.8327778,-10.5197222
lr,bampa,Bampa,9,,6.8788889,-8.9338889
lr,bampa town,Bampa Town,9,,7.0280556,-8.9025
lr,bample,Bample,9,,7.3027778,-8.4552778
lr,bampree,Bampree,17,,6.5666667,-10.25
lr,bamu,Bamu,15,,6.6,-10.9333333
lr,bana,Bana,10,,4.9916667,-8.9638889
lr,banai,Banai,1,,7.0880556,-9.4355556
lr,banaka,Banaka,15,,6.8288889,-10.7725
lr,banama,Banama,18,,5.6411111,-9.6058333
lr,bandahqueh town,Bandahqueh Town,11,,6.5369444,-10.1830556
