"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,162,"NER","Niger",1,"Agadez","NE.AG",NA,"","Département","Department","","Agadès"
2,162,"NER","Niger",2,"Diffa","NE.DF",NA,"","Département","Department","",""
3,162,"NER","Niger",3,"Dosso","NE.DS",NA,"","Département","Department","",""
4,162,"NER","Niger",4,"Maradi","NE.MA",NA,"","Département","Department","",""
5,162,"NER","Niger",5,"Niamey","NE.NI	",NA,"","Communauté Urbaine","Capital District","",""
6,162,"NER","Niger",6,"Tahoua","NE.TH",NA,"","Département","Department","",""
7,162,"NER","Niger",7,"Tillabéry","NE.TL",NA,"","Département","Department","","Tillabéri"
8,162,"NER","Niger",8,"Zinder","NE.ZI",NA,"","Département","Department","",""
