"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
33,57,"CIV","Côte d'Ivoire",4,"Denguélé",7,"Folon",22,"Minignan",33,"Tienko","",NA,"","Sous-préfecture","Sub-prefecture"
34,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",23,"Gbeleban",34,"Gbeleban","",NA,"","Sous-préfecture","Sub-prefecture"
35,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",24,"Madinani",35,"Madinani","",NA,"","Sous-préfecture","Sub-prefecture"
36,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",24,"Madinani",36,"Seguelon","",NA,"","Sous-préfecture","Sub-prefecture"
37,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",25,"Odienné",37,"Bako","",NA,"","Sous-préfecture","Sub-prefecture"
38,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",25,"Odienné",38,"Dioulatiedougou","",NA,"","Sous-préfecture","Sub-prefecture"
39,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",25,"Odienné",39,"Odienné","",NA,"","Sous-préfecture","Sub-prefecture"
40,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",25,"Odienné",40,"Seydougou","",NA,"","Sous-préfecture","Sub-prefecture"
41,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",25,"Odienné",41,"Tieme","",NA,"","Sous-préfecture","Sub-prefecture"
42,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",26,"Samatiguila",42,"Samatiguila","",NA,"","Sous-préfecture","Sub-prefecture"
43,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou",27,"Seguelon",43,"Gbongaha","",NA,"","Sous-préfecture","Sub-prefecture"
44,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",9,"Gôh",28,"Gagnoa",44,"Gagnoa","",NA,"","Sous-préfecture","Sub-prefecture"
45,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",9,"Gôh",28,"Gagnoa",45,"Guiberoua","",NA,"","Sous-préfecture","Sub-prefecture"
46,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",9,"Gôh",28,"Gagnoa",46,"Ouragahio","",NA,"","Sous-préfecture","Sub-prefecture"
47,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",9,"Gôh",29,"Oumé",47,"Diegonefla","",NA,"","Sous-préfecture","Sub-prefecture"
