"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,199,"STP","São Tomé and Príncipe",1,"Príncipe",1,"Pagué","ST.PR.PA",NA,"","District","","",""
2,199,"STP","São Tomé and Príncipe",2,"São Tomé",2,"Água Grande","ST.ST.AG",NA,"","District","","",""
3,199,"STP","São Tomé and Príncipe",2,"São Tomé",3,"Cantagalo","ST.ST.CG",NA,"","District","","",""
4,199,"STP","São Tomé and Príncipe",2,"São Tomé",4,"Caué","ST.ST.CU",NA,"","District","","",""
5,199,"STP","São Tomé and Príncipe",2,"São Tomé",5,"Lembá","ST.ST.LE",NA,"","District","","",""
6,199,"STP","São Tomé and Príncipe",2,"São Tomé",6,"Lobata","ST.ST.LO",NA,"","District","","",""
7,199,"STP","São Tomé and Príncipe",2,"São Tomé",7,"Mé-Zóchi","ST.ST.MZ",NA,"","District","","",""
