"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,96,"GNB","Guinea-Bissau",1,"Bafatá","GW.BA",NA,"","Região","Region","",""
2,96,"GNB","Guinea-Bissau",2,"Biombo","GW.BM",NA,"","Região","Region","",""
3,96,"GNB","Guinea-Bissau",3,"Bissau","GW.BS",NA,"","Sector Autónomo","Autonomous Sector","",""
4,96,"GNB","Guinea-Bissau",4,"Bolama","GW.BL",NA,"","Região","Region","","Bolama-Bijagcs"
5,96,"GNB","Guinea-Bissau",5,"Cacheu","GW.CA",NA,"","Região","Region","",""
6,96,"GNB","Guinea-Bissau",6,"Gabú","GW.GA",NA,"","Região","Region","",""
7,96,"GNB","Guinea-Bissau",7,"Oio","GW.OI",NA,"","Região","Region","",""
8,96,"GNB","Guinea-Bissau",8,"Quinara","GW.QU",NA,"","Região","Region","","Buba"
9,96,"GNB","Guinea-Bissau",9,"Tombali","GW.TO",NA,"","Região","Region","",""
