"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,230,"TGO","Togo",1,"Centre","TG.CE",NA,"","Région","Region","","Région Centrale, Région du Centre"
2,230,"TGO","Togo",2,"Kara","TG.KA",NA,"","Région","Region","","Région de la Kara"
3,230,"TGO","Togo",3,"Maritime","TG.MA",NA,"","Région","Region","","Région Maritime"
4,230,"TGO","Togo",4,"Plateaux","TG.PL",NA,"","Région","Region","","Région des Plateaux"
5,230,"TGO","Togo",5,"Savanes","TG.SA",NA,"","Région","Region","","Région des Savanes"
