"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,138,"MLI","Mali",1,"Bamako","ML.BA",NA,"","District","District","",""
2,138,"MLI","Mali",2,"Gao","ML.GA",NA,"","Région","Region","",""
3,138,"MLI","Mali",3,"Kayes","ML.KY",NA,"","Région","Region","",""
4,138,"MLI","Mali",4,"Kidal","ML.KD",NA,"","Région","Region","",""
5,138,"MLI","Mali",5,"Koulikoro","ML.KK",NA,"","Région","Region","",""
6,138,"MLI","Mali",6,"Mopti","ML.MO",NA,"","Région","Region","",""
7,138,"MLI","Mali",7,"Ségou","ML.SG",NA,"","Région","Region","","Segou"
8,138,"MLI","Mali",8,"Sikasso","ML.SK",NA,"","Région","Region","",""
9,138,"MLI","Mali",9,"Timbuktu","ML.TB",NA,"","Région","Region","","Timbouctou|Tombouctou|Timbuct|Timbuctu|Tombuktu|Tombuctú|Tomboucto"
