"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,192,"SHN","Saint Helena",1,"Ascension","SH.AC",NA,"","Administrative Area","Administrative Area","","Ascensão"
2,192,"SHN","Saint Helena",2,"Saint Helena","SH.SH",NA,"","Dependency","Dependency","<Null>"," "
3,192,"SHN","Saint Helena",3,"Tristan da Cunha","SH.TA",NA,"","Dependency","Dependency","","Tristão da Cunha"
